Designator,Mid X,Mid Y,Rotation,Layer
C1,117.2375,-68.625,0.0,bottom
C2,130.75,-71.6375,90.0,bottom
C3,172.9,-73.3675,90.0,bottom
C4,167.5375,-74.43,180.0,bottom
D1,179.3,-78.53,0.0,bottom
D2,133.0,-63.25,180.0,top
D3,127.4,-79.63,90.0,top
D4,128.6,-86.53,0.0,top
D5,128.6,-90.23,0.0,top
D6,171.2,-100.83,180.0,top
D7,117.3,-66.825,0.0,bottom
J1,115.1,-88.53,270.0,top
J2,185.1375,-90.23,90.0,top
J3,122.5,-126.13,0.0,top
Q1,171.3,-96.63,0.0,top
R1,175.5,-78.43,90.0,bottom
R2,132.975,-65.05,180.0,bottom
R3,167.0,-96.93,270.0,top
R4,171.8875,-75.93,0.0,top
R5,172.0,-80.13,180.0,top
R6,171.9875,-83.63,0.0,top
R7,175.2,-92.53,90.0,top
R8,175.9,-72.33,270.0,top
R9,128.6875,-93.23,180.0,top
U1,170.2,-78.23,0.0,bottom
U2,126.25,-69.0,90.0,top
U3,137.6,-68.13,0.0,top
