Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10uF,
C12,0603,1,0.1u,
C13,0603,1,1u,
C2,0603,1,1u,
C3,0603,1,1u,
C4,0603,1,10uF,
C8,0603,1,0.1u,
D1,0603,1,TS4148C RZG,
"D10, D11, D12",TO-220-3_Vertical,3,FERD20M60ST,
"D2, D6, D7",SOT-23,3,SP0502BAHT,
D3,TO-252-2,1,D_KAK,
"D4, D5",D_SOD-123,2,1N4148,
D8,0603,1,LED,
D9,SOT-23,1,DESD2CAN2SOQ-7,
"F1, F10, F4, F8",Fuseholder_Blade_Mini_Keystone_3568,4,2A,
F11,Fuseholder_Blade_Mini_Keystone_3568,1,20A,
F2,Fuseholder_Blade_Mini_Keystone_3568,1,10A,
"F3, F6",Fuseholder_Blade_Mini_Keystone_3568,2,15A,
"F5, F7",Fuseholder_Blade_Mini_Keystone_3568,2,5A,
F9,Fuseholder_Blade_Mini_Keystone_3568,1,1A,
"H1, H2",MountingHole_3.2mm_M3,2,MountingHole,
"J1, J2",TE_1-770669-1_23pin_Horizontal,2,Conn_01x23,
J3,TE_1-776280-1_8pin_Horizontal,1,Conn_01x08,
"J4, J5",JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,2,JST-B2B-VERT-2PIN,
J6,JST_NV_B02P-NV_1x02_P5.00mm_Vertical,1,Conn_01x02,
J7,microSD_HC_Wuerth_693072010801,1,Micro_SD_Card,
JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,SolderJumper_2_Open,
K1,RELAY_T9VV1K15-12S,1,T9VV1K15-12S,
"K2, K3",Relay_DPDT_Omron_G5V-2,2,G5V-2,
"K4, K5, K6",Relay_SPDT_Omron_G5V-1,3,G5V-1,
Q1,SOT-23,1,2N7002,
R1,0603,1,100k,
R2,0603,1,330,
R3,0603,1,10K,
R4,0603,1,1k,
R5,0603,1,10K,
R6,0603,1,120,
R7,0603,1,1k,
R8,0603,1,2.2K,
R9,0603,1,2.2K,
U1,ESP32-DevKitC,1,Dev_Board_C,
U2,TO-252-2,1,TS2940CP33_ROG,
U4,SOIC127P600X175-8N,1,MAX33054EASA+T,
