Designator,Mid X,Mid Y,Rotation,Layer
C1,118.725,-75.975,0.0,top
C12,150.3875,-123.25,0.0,top
C13,77.75,-76.0,90.0,bottom
C2,73.0,-65.5,270.0,bottom
C3,87.0,-95.5,180.0,bottom
C4,112.6375,-85.25,180.0,top
C8,145.25,-124.3625,90.0,top
D1,111.25,-81.725,270.0,top
D10,90.75,-91.5,90.0,top
D11,90.695,-80.29,90.0,top
D12,90.75,-68.0,90.0,top
D2,163.5,-80.6875,270.0,top
D3,71.6,-130.75,180.0,bottom
D4,141.0,-97.5,90.0,top
D5,141.75,-108.3511,90.0,top
D6,169.75,-80.75,270.0,top
D7,182.25,-121.75,180.0,bottom
D8,124.475,-79.475,270.0,top
D9,150.25,-136.75,90.0,top
F1,114.04,-67.3,0.0,top
F10,126.04,-119.3,0.0,top
F11,71.96,-139.95,180.0,top
F2,105.96,-79.2,180.0,top
F3,105.79,-119.3,0.0,top
F4,105.96,-96.2,180.0,top
F5,105.96,-113.2,180.0,top
F6,105.96,-70.7,180.0,top
F7,105.96,-104.7,180.0,top
F8,105.96,-87.95,180.0,top
F9,86.04,-119.05,0.0,top
J1,69.5875,-77.25,270.0,top
J2,181.5,-74.5,180.0,top
J3,150.0,-158.4375,0.0,top
J4,148.75,-95.75,270.0,top
J5,149.1175,-107.1011,270.0,top
J6,152.5275,-144.8,180.0,top
J7,188.25,-156.4225,0.0,top
K1,96.7126,-144.3341,0.0,top
K2,136.5,-93.3511,270.0,top
K3,118.56,-113.3761,90.0,top
K4,75.2925,-68.1276,90.0,top
K5,75.5425,-91.6575,90.0,top
K6,85.0,-75.25,270.0,top
Q1,148.5,-86.25,270.0,top
R1,140.5,-86.25,270.0,top
R2,124.475,-84.725,90.0,top
R3,138.75,-88.25,90.0,top
R4,159.5,-105.5,180.0,top
R5,144.0,-117.25,270.0,bottom
R6,150.25,-133.25,180.0,top
R7,159.5,-113.0,180.0,top
R8,147.0,-117.25,90.0,bottom
R9,142.25,-88.25,270.0,top
U1,189.95,-138.4034,180.0,top
U2,118.0,-80.5,0.0,top
U4,150.25,-128.25,270.0,top
